sample_id,ground_truth,prediction,anomaly_score,reconstruction_error,classification
0,0,1,1.0177119970321655,1.0177119970321655,FP
1,0,1,1.0185902118682861,1.0185902118682861,FP
2,0,1,1.0461337566375732,1.0461337566375732,FP
3,0,1,0.974720299243927,0.974720299243927,FP
4,0,1,1.001918077468872,1.001918077468872,FP
5,0,1,0.9725565314292908,0.9725565314292908,FP
6,0,1,1.0086451768875122,1.0086451768875122,FP
7,0,1,0.9804298877716064,0.9804298877716064,FP
8,0,1,0.9291762709617615,0.9291762709617615,FP
9,0,1,0.9699350595474243,0.9699350595474243,FP
10,0,1,0.9291917681694031,0.9291917681694031,FP
11,0,1,0.9151554703712463,0.9151554703712463,FP
12,0,1,0.9419019818305969,0.9419019818305969,FP
13,0,1,0.9582664370536804,0.9582664370536804,FP
14,0,1,0.9750856757164001,0.9750856757164001,FP
15,0,1,0.9519351720809937,0.9519351720809937,FP
16,0,1,0.9664003252983093,0.9664003252983093,FP
17,0,1,0.9835204482078552,0.9835204482078552,FP
18,0,1,0.9019075632095337,0.9019075632095337,FP
19,0,1,0.9419581890106201,0.9419581890106201,FP
20,0,1,0.9277610778808594,0.9277610778808594,FP
21,0,1,1.0194398164749146,1.0194398164749146,FP
22,0,1,0.9930332899093628,0.9930332899093628,FP
23,0,1,0.9420844316482544,0.9420844316482544,FP
24,0,1,0.9591593146324158,0.9591593146324158,FP
25,0,1,0.9572576880455017,0.9572576880455017,FP
26,0,1,0.9901150465011597,0.9901150465011597,FP
27,0,1,0.9340518116950989,0.9340518116950989,FP
28,0,1,0.8920000195503235,0.8920000195503235,FP
29,0,1,0.9093612432479858,0.9093612432479858,FP
30,0,1,0.960366427898407,0.960366427898407,FP
31,0,1,0.9511160850524902,0.9511160850524902,FP
32,0,1,1.0061594247817993,1.0061594247817993,FP
33,0,1,0.9563695788383484,0.9563695788383484,FP
34,0,1,0.9427294731140137,0.9427294731140137,FP
35,0,1,0.8931514620780945,0.8931514620780945,FP
36,0,1,0.9375252723693848,0.9375252723693848,FP
37,0,1,0.9598773121833801,0.9598773121833801,FP
38,0,1,0.8897446990013123,0.8897446990013123,FP
39,0,1,0.8837937712669373,0.8837937712669373,FP
40,0,1,0.8754470944404602,0.8754470944404602,FP
41,0,1,0.8931426405906677,0.8931426405906677,FP
42,0,1,0.9216463565826416,0.9216463565826416,FP
43,0,1,0.8872940540313721,0.8872940540313721,FP
44,0,1,0.9298423528671265,0.9298423528671265,FP
45,0,1,0.8733257055282593,0.8733257055282593,FP
46,0,1,0.8728564977645874,0.8728564977645874,FP
47,0,1,0.887474536895752,0.887474536895752,FP
48,0,1,0.9104694128036499,0.9104694128036499,FP
49,0,1,0.9108725190162659,0.9108725190162659,FP
50,0,1,0.8876557350158691,0.8876557350158691,FP
51,0,1,0.8611109852790833,0.8611109852790833,FP
52,0,1,0.8858448266983032,0.8858448266983032,FP
53,0,1,0.878598690032959,0.878598690032959,FP
54,0,1,0.8612499237060547,0.8612499237060547,FP
55,0,1,0.8189383149147034,0.8189383149147034,FP
56,0,1,0.8426854610443115,0.8426854610443115,FP
57,0,1,0.8549256920814514,0.8549256920814514,FP
58,0,1,0.8044183254241943,0.8044183254241943,FP
59,0,1,0.8308389186859131,0.8308389186859131,FP
60,0,1,0.802489697933197,0.802489697933197,FP
61,0,1,0.8215516805648804,0.8215516805648804,FP
62,0,1,0.7955756187438965,0.7955756187438965,FP
63,0,1,0.8056963086128235,0.8056963086128235,FP
64,0,1,0.8124961853027344,0.8124961853027344,FP
65,0,1,0.7968242764472961,0.7968242764472961,FP
66,0,1,0.7893327474594116,0.7893327474594116,FP
67,0,1,0.7759523987770081,0.7759523987770081,FP
68,0,1,0.7733666896820068,0.7733666896820068,FP
69,0,1,0.757884681224823,0.757884681224823,FP
70,0,1,0.7606263756752014,0.7606263756752014,FP
71,0,1,0.7682668566703796,0.7682668566703796,FP
72,0,1,0.7737165689468384,0.7737165689468384,FP
73,0,1,0.748416006565094,0.748416006565094,FP
74,0,1,0.7464762330055237,0.7464762330055237,FP
75,0,1,0.7260886430740356,0.7260886430740356,FP
76,0,1,0.7353912591934204,0.7353912591934204,FP
77,0,1,1.3568304777145386,1.3568304777145386,FP
78,0,1,0.7479045391082764,0.7479045391082764,FP
79,0,1,0.7696026563644409,0.7696026563644409,FP
80,0,1,1.3501803874969482,1.3501803874969482,FP
81,0,1,0.6770536303520203,0.6770536303520203,FP
82,0,1,1.5147203207015991,1.5147203207015991,FP
83,0,1,0.7842222452163696,0.7842222452163696,FP
84,0,1,1.6848762035369873,1.6848762035369873,FP
85,0,1,0.6706295013427734,0.6706295013427734,FP
86,0,1,0.6784646511077881,0.6784646511077881,FP
87,0,1,1.3330845832824707,1.3330845832824707,FP
88,0,1,1.3627448081970215,1.3627448081970215,FP
89,0,1,1.6172475814819336,1.6172475814819336,FP
90,0,1,0.9148317575454712,0.9148317575454712,FP
91,0,1,1.3032257556915283,1.3032257556915283,FP
92,0,1,1.3501499891281128,1.3501499891281128,FP
93,0,1,1.2689896821975708,1.2689896821975708,FP
94,0,1,0.6076186299324036,0.6076186299324036,FP
95,0,1,1.2559443712234497,1.2559443712234497,FP
96,0,1,1.2528221607208252,1.2528221607208252,FP
97,0,1,1.2509682178497314,1.2509682178497314,FP
98,0,1,1.2906157970428467,1.2906157970428467,FP
99,0,1,1.2109700441360474,1.2109700441360474,FP
100,0,1,1.2036131620407104,1.2036131620407104,FP
101,0,1,1.1991764307022095,1.1991764307022095,FP
102,0,1,0.6026293039321899,0.6026293039321899,FP
103,0,1,0.6129395961761475,0.6129395961761475,FP
104,0,1,1.1280287504196167,1.1280287504196167,FP
105,0,1,1.1246109008789062,1.1246109008789062,FP
106,0,1,1.1785948276519775,1.1785948276519775,FP
107,0,1,1.2061561346054077,1.2061561346054077,FP
108,0,1,1.1571639776229858,1.1571639776229858,FP
109,0,1,1.1032840013504028,1.1032840013504028,FP
110,0,1,1.0906105041503906,1.0906105041503906,FP
