epoch,train_loss,train_reconstruction_loss,train_kl_loss,train_contrastive_loss,validation_total_loss,validation_reconstruction_loss,validation_kl_loss,validation_contrastive_loss,beta,learning_rate
1,0.7191560260752305,0.5918476058837564,57.24478641204974,1.273084171857426,0.9544516655187758,0.762961142001644,88.60722911547101,1.9149051843181488,0.0,0.001
2,0.6449462849188616,0.5213632895028527,58.09078532744219,1.2067845243502429,0.8690612316131592,0.6728325085270972,80.92633274623326,1.9218239997114455,5e-05,0.001
3,0.6385257780233169,0.5156421351879038,43.6553147463875,1.1851810897635744,0.7830295586396777,0.585652386385297,60.54282093048096,1.9132288405819544,0.0001,0.001
4,0.636523983185304,0.5135270161105987,34.30945598173906,1.1785054575861058,0.7835216569522071,0.5821742019246495,64.31791129944817,1.9169976171993075,0.00015,0.001
5,0.634868975055409,0.5136444685612133,28.3086635426404,1.1556277290863148,0.7633497194638328,0.5643796327095183,37.720458927608675,1.9142598959188613,0.0002,0.001
6,0.6332499355555856,0.5121094949423948,24.41926778497543,1.1503562137061223,0.7426523895017685,0.541972994567856,36.278860137576146,1.9160967440832228,0.00025,0.001
7,0.6342075447028971,0.5124726618674987,21.667405369192522,1.1523465965660338,0.7507980714241663,0.549338790868956,33.11434163366045,1.915249723763693,0.0003,0.001
8,0.6318269942533523,0.5110528713560359,19.616969910279952,1.139081835073424,0.7467600499826764,0.5459980236159431,26.15334370779613,1.9160835227322957,0.00035,0.001
9,0.6320055275039876,0.5108314809314708,17.28076690939021,1.1426173798421169,0.7913570747015968,0.5895565369772533,24.63933521603781,1.9194479863795022,0.0004,0.001
10,0.6311880373062297,0.5105912987242408,15.418553412534337,1.1365838808002557,0.7474227987584614,0.5429640611012777,28.117250283559162,1.9180597005382416,0.00045000000000000004,0.001
11,0.6303187311970614,0.5098345090679944,14.52414907465644,1.132221457927941,0.7511522942592227,0.5493580118294746,20.49580773096236,1.9154637030192785,0.0005,0.001
