entity_id,timestamp,actual_anomaly,anomaly_type,predicted_anomaly,error,threshold,drift,latency_ms
engine_2,1773910656892,False,normal,True,0.9662655591964722,0.035,False,823
engine_1,1773910658897,True,drift,True,1.3550807237625122,0.035,False,1799
pump_1,1773910657895,True,noise,True,0.951983630657196,0.035,False,288
sensor_1,1773910658396,True,drift,True,1.0119168758392334,0.035,False,2308
turbine_1,1773910657394,True,drift,True,1.183520793914795,0.035,False,806
engine_2,1773910659398,False,normal,True,0.9676881432533264,0.035,False,1306
pump_1,1773910660409,True,drift,True,0.9457794427871704,0.035,False,771
sensor_1,1773910660913,True,drift,True,1.0172675848007202,0.035,False,272
engine_1,1773910661415,True,drift,True,1.3530446290969849,0.035,False,2320
engine_2,1773910661920,False,normal,True,0.9679976105690002,0.035,False,1911
turbine_1,1773910662420,True,drift,True,1.1567416191101074,0.035,False,1512
pump_1,1773910662920,True,drift,True,0.9370022416114807,0.035,False,1208
sensor_1,1773910663430,True,drift,True,1.012223243713379,0.035,False,794
engine_1,1773910663933,True,drift,True,1.3568931818008423,0.035,False,493
engine_2,1773910664458,False,normal,True,0.9653502702713013,0.035,False,317
turbine_1,1773910664960,True,drift,True,1.1613751649856567,0.035,False,80
pump_1,1773910665461,True,drift,True,0.9387624263763428,0.035,False,2222
sensor_1,1773910665962,True,drift,True,1.018602728843689,0.035,False,2254
engine_1,1773910666464,True,drift,True,1.3408969640731812,0.035,False,2096
engine_2,1773910666964,False,normal,True,0.951406717300415,0.035,False,2377
turbine_1,1773910667465,True,drift,True,1.1426746845245361,0.035,False,403
pump_1,1773910667968,True,drift,True,0.9443324208259583,0.035,False,163
sensor_1,1773910668468,True,drift,True,1.0408358573913574,0.035,False,730
engine_1,1773910668972,False,normal,True,1.3239648342132568,0.035,False,991
engine_2,1773910669476,False,normal,True,0.9461975693702698,0.035,False,979
turbine_1,1773910669976,True,drift,True,1.1472629308700562,0.035,False,1305
pump_1,1773910670484,True,drift,True,0.9392955303192139,0.035,False,1450
sensor_1,1773910670985,True,drift,True,1.0587421655654907,0.035,False,1336
engine_1,1773910671485,False,normal,True,1.3425734043121338,0.035,False,1434
engine_2,1773910671986,False,normal,True,0.9487617611885071,0.035,False,1644
turbine_1,1773910674963,True,drift,True,1.1422042846679688,0.035,False,1477
pump_1,1773910675464,True,drift,True,0.9502804279327393,0.035,False,1423
sensor_1,1773910675966,True,drift,True,1.0777504444122314,0.035,False,1531
engine_1,1773910676469,False,normal,True,1.3348743915557861,0.035,False,1515
engine_2,1773910676969,False,normal,True,0.9388320446014404,0.035,False,1281
turbine_1,1773910677473,True,drift,True,1.14683198928833,0.035,False,848
pump_1,1773910677975,True,drift,True,0.9724241495132446,0.035,False,666
sensor_1,1773910678476,True,drift,True,1.083470106124878,0.035,False,501
engine_1,1773910678979,False,normal,True,1.3496081829071045,0.035,False,239
engine_2,1773910679479,False,normal,True,0.9528481364250183,0.035,False,2328
turbine_1,1773910679985,True,drift,True,1.1567351818084717,0.035,False,1982
pump_1,1773910680486,True,drift,True,0.9650329351425171,0.035,False,1629
sensor_1,1773910680990,True,drift,True,1.0818806886672974,0.035,False,1252
engine_1,1773910681492,False,normal,True,1.3507282733917236,0.035,False,932
engine_2,1773910681996,False,normal,True,0.9545285701751709,0.035,False,782
turbine_1,1773910682497,True,drift,True,1.1614595651626587,0.035,False,878
pump_1,1773910682999,True,drift,True,0.9522426724433899,0.035,False,610
sensor_1,1773910683499,True,drift,True,1.0716967582702637,0.035,False,342
engine_1,1773910684001,False,normal,True,1.3360406160354614,0.035,False,117
engine_2,1773910684501,False,normal,True,0.9562807679176331,0.035,False,2157
turbine_1,1773910685002,True,drift,True,1.1663686037063599,0.035,False,1910
pump_1,1773910685502,True,drift,True,0.9448793530464172,0.035,False,1618
sensor_1,1773910686006,True,drift,True,1.0877476930618286,0.035,False,1546
engine_2,1773910694527,False,normal,True,0.9402686953544617,0.035,False,547
turbine_1,1773910695027,True,drift,True,1.1748342514038086,0.035,False,729
engine_1,1773910686507,False,normal,True,1.3506600856781006,0.035,False,1731
pump_1,1773910695528,True,drift,True,0.9441768527030945,0.035,False,1072
engine_2,1773910687008,False,normal,True,0.9590520262718201,0.035,False,2075
sensor_1,1773910696029,True,drift,True,1.0874252319335938,0.035,False,1696
engine_1,1773910696531,False,normal,True,1.3607336282730103,0.035,False,1193
turbine_1,1773910687510,True,drift,True,1.1638110876083374,0.035,False,194
turbine_1,1773910697533,True,drift,True,1.1698403358459473,0.035,False,1820
engine_2,1773910697033,False,normal,True,0.9426945447921753,0.035,False,2326
pump_1,1773910688012,True,drift,True,0.9601820111274719,0.035,False,1329
sensor_1,1773910688513,True,drift,True,1.0877351760864258,0.035,False,2406
sensor_1,1773910698536,True,drift,True,1.0920358896255493,0.035,False,2412
pump_1,1773910698034,True,drift,True,0.9367620944976807,0.035,False,404
engine_1,1773910689014,False,normal,True,1.3452916145324707,0.035,False,880
turbine_1,1773910700037,True,drift,True,1.1772304773330688,0.035,False,2387
engine_2,1773910699536,False,normal,True,0.9569942355155945,0.035,False,380
sensor_1,1773910701042,True,drift,True,1.090659499168396,0.035,False,4036
engine_1,1773910701543,False,normal,True,1.3570947647094727,0.035,False,3547
pump_1,1773910703047,True,drift,True,0.9372314214706421,0.035,False,247
turbine_1,1773910702547,True,drift,True,1.1767712831497192,0.035,False,752
turbine_1,1773910707812,True,drift,True,1.169487714767456,0.035,False,1987
engine_1,1773910711825,False,normal,True,1.3517986536026,0.035,False,1849
sensor_1,1773910711324,True,drift,True,1.0958503484725952,0.035,False,2360
engine_2,1773910712325,False,normal,True,0.9439029097557068,0.035,False,2473
engine_1,1773910714331,False,normal,True,1.3542490005493164,0.035,False,1255
